# EA - Nov 2019
# From Hochberg+, 1608.01994, Fig 1
# |Imaginary part| of Ge complex conductivity
#    (sigma_2<0 for omega < 4.1 eV)
# Comes in principle from Ref [27] = handbook of optical csts of solids 
#   (did not check that)
# Energy (eV) - |sigma_2| (eV)
0.621	10.142
0.711	11.969
0.896	15.768
1.178	22.230
1.389	28.222
1.595	35.342
1.836	47.120
2.065	60.705
2.129	53.924
2.314	42.876
2.435	32.022
2.544	29.538
2.701	29.538
2.933	34.005
3.149	34.712
3.468	29.059
3.761	20.952
3.934	16.532
4.030	9.893
4.105	1.570
4.292	43.849
4.397	66.956
4.639	60.039
5.078	43.660
5.505	43.065
5.606	29.015
5.830	47.452
6.007	37.666
6.226	25.837
7.408	20.580
8.028	16.322
8.515	13.605
8.963	13.328
9.895	8.918
10.678	7.364
12.899	4.592
16.868	2.267
20.331	1.366
24.423	0.906
27.309	0.743
28.724	0.727
29.964	0.912
31.888	0.948
37.167	0.925
41.794	0.984
47.262	1.047
55.419	1.224
65.499	1.411
79.815	1.661
102.113	2.111
118.297	2.437
144.862	2.936
167.130	3.483
191.732	3.504
246.870	3.577
293.210	3.510
349.038	3.322
421.809	3.147
515.554	2.784
